N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
170,TIGER 미국테크TOP10 INDXX,"10,965",0,0.00%,0,"15,762","143,750",0.46,"635,989",N/A,N/A,
171,롯데정밀화학,"60,300",500,-0.82%,"5,000","15,557","25,800",21.16,"70,510",10.64,6.51,
172,TIGER 미국필라델피아반도체나스닥,"10,810",85,+0.79%,0,"15,534","143,700",0.84,"672,560",N/A,N/A,
173,하이트진로,"22,100",350,-1.56%,"5,000","15,500","70,134",10.17,"216,968",18.10,7.72,
174,KODEX 23-12 은행채(AA+이상)액티브,"10,280",0,0.00%,0,"15,275","148,590",0.00,"52,218",N/A,N/A,
175,솔루스첨단소재,"42,700",500,-1.16%,100,"14,992","35,111",6.13,"180,413",-164.86,-2.68,
176,TIGER MSCI Korea TR,"14,095",70,-0.49%,0,"14,842","105,300",1.21,"117,908",N/A,N/A,
177,녹십자,"127,000","3,000",-2.31%,"5,000","14,842","11,687",21.89,"37,996",22.67,5.03,
178,롯데칠성,"159,000","6,000",-3.64%,500,"14,753","9,279",12.22,"37,993",12.45,9.11,
179,에스엘,"31,300",350,-1.11%,500,"14,538","46,449",12.94,"190,168",9.51,9.87,
180,현대엘리베이,"35,000",50,-0.14%,"5,000","14,285","40,815",29.30,"224,726",18.23,6.89,
181,효성,"67,400",700,-1.03%,"5,000","14,202","21,071",5.36,"22,739",90.71,0.60,
182,동원시스템즈,"47,450","2,350",-4.72%,"5,000","13,756","28,991",13.48,"200,988",19.27,10.40,
183,후성,"14,300",0,0.00%,500,"13,492","94,352",2.82,"1,564,265",13.66,31.60,
184,DL이앤씨,"33,950",650,+1.95%,"5,000","13,136","38,694",22.95,"198,294",3.53,9.70,
185,SK케미칼,"75,200","1,100",-1.44%,"5,000","12,975","17,254",14.65,"40,349",7.72,9.11,
186,TIGER 2차전지테마,"31,210","1,045",-3.24%,0,"12,765","40,900",0.00,"2,897,796",N/A,N/A,
187,풍산,"44,800",900,-1.97%,"5,000","12,555","28,024",14.85,"477,657",7.17,9.94,
188,KODEX 삼성그룹,"9,330",45,-0.48%,0,"12,549","134,500",0.14,"163,511",N/A,N/A,
189,대웅제약,"107,900",100,+0.09%,"2,500","12,502","11,587",7.70,"28,746",29.59,7.17,
190,금호타이어,"4,340",105,-2.36%,"5,000","12,467","287,260",4.37,"546,521",-15.78,-6.87,
191,이수화학,"44,550","5,150",-10.36%,"5,000","12,456","27,960",4.37,"9,881,436",44.91,9.41,
192,KODEX 단기채권PLUS,"106,415",10,+0.01%,0,"12,371","11,625",0.00,"85,033",N/A,N/A,
193,코오롱인더,"44,850",350,+0.79%,"5,000","12,342","27,519",18.70,"131,045",7.55,7.13,
194,KBSTAR 200,"33,815",165,-0.49%,0,"12,292","36,350",0.01,"214,970",N/A,N/A,
195,현대백화점,"52,400",100,-0.19%,"5,000","12,263","23,402",22.48,"90,866",8.51,3.20,
196,KG스틸,"12,250",940,-7.13%,"5,000","12,251","100,009",2.26,"4,207,336",2.29,37.73,
197,삼아알미늄,"83,200","1,200",-1.42%,500,"12,240","14,712",36.80,"262,139",53.20,13.24,
198,동국제강,"12,780",270,-2.07%,"5,000","12,196","95,433",25.51,"393,808",2.95,14.21,
199,KBSTAR 종합채권(A-이상)액티브,"98,125",290,+0.30%,0,"12,175","12,408",0.00,581,N/A,N/A,
200,LX인터내셔널,"31,350",650,-2.03%,"5,000","12,151","38,760",28.55,"580,918",2.36,25.53,
